nickname,country,team,maps_played,rating_overall,kd_ratio,kd_diff_both,rounds_played_both,rating_ct_side,kd_diff_ct_side,rounds_played_ct_side,rating_t_side,kd_diff_t_side,rounds_played_t_side,total_kills,total_deaths,damage_per_round,headshot_percentage,kast_percentage,kills_per_round,deaths_per_round,assists_per_round,has_full_detail
donk,Russia,Spirit,30,1.37,1.28,130,670,1.4,109,322,1.34,21,348,593,463,90.8,61.9,75.4,0.89,0.69,0.22,true
ZywOo,France,Vitality,19,1.34,1.42,99,407,1.37,74,195,1.31,25,212,337,238,87.4,45.7,77.9,0.83,0.58,0.17,true
insani,Brazil,MIBR,22,1.27,1.09,30,449,1.46,71,208,1.11,-41,241,359,329,91.1,56.3,72.6,0.80,0.73,0.22,true
m0NESY,Russia,Falcons,33,1.24,1.37,167,765,1.29,138,391,1.19,29,374,613,446,79.7,36.9,75.2,0.80,0.58,0.12,true
tenzy,Russia,magic,16,1.21,1.21,52,372,1.28,49,173,1.16,3,199,299,247,83.2,62.9,71.8,0.80,0.66,0.21,true
NiKo,Bosnia and Herzegovina,Falcons,33,1.2,1.16,76,765,1.24,85,391,1.16,-9,374,559,483,77.9,58.5,75.4,0.73,0.63,0.21,true
molodoy,Kazakhstan,FURIA,18,1.19,1.44,90,365,1.2,77,183,1.18,13,182,293,203,81.7,37.2,77.0,0.80,0.56,0.17,true
sh1ro,Russia,Spirit,30,1.18,1.38,143,670,1.22,106,322,1.15,37,348,516,373,78.7,32.6,76.7,0.77,0.56,0.15,true
HeavyGod,Israel,G2,27,1.18,1.06,24,624,1.09,29,292,1.26,-5,332,432,408,78.5,60.4,73.7,0.69,0.65,0.19,true
b1t,Ukraine,Natus Vincere,17,1.18,1.23,52,375,1.22,52,206,1.14,0,169,281,229,81.8,59.4,77.6,0.75,0.61,0.18,true
MaSvAl,Belarus,magic,16,1.18,1.08,18,372,1.2,29,173,1.16,-11,199,,,,,,,,,false
kyousuke,Russia,Falcons,33,1.18,1.11,59,765,1.03,40,391,1.33,19,374,,,,,,,,,false
Magnojez,Russia,BetBoom,23,1.17,1.09,29,472,1.26,55,224,1.09,-26,248,,,,,,,,,false
KSCERATO,Brazil,FURIA,18,1.17,1.26,55,365,1.16,38,183,1.18,17,182,,,,,,,,,false
frozen,Slovakia,FaZe,22,1.17,1.18,57,521,1.32,89,275,1.0,-32,246,,,,,,,,,false
latto,Brazil,Legacy,25,1.15,1.16,59,561,1.14,61,287,1.16,-2,274,,,,,,,,,false
yuurih,Brazil,FURIA,18,1.15,1.28,54,365,1.16,41,183,1.14,13,182,,,,,,,,,false
xertioN,Israel,MOUZ,39,1.15,1.12,66,822,1.14,84,422,1.16,-18,400,,,,,,,,,false
YEKINDAR,Latvia,FURIA,18,1.14,1.03,8,365,1.15,34,183,1.13,-26,182,,,,,,,,,false
dziugss,Lithuania,FUT,26,1.14,1.06,23,556,1.07,33,289,1.21,-10,267,,,,,,,,,false
Twistzz,Canada,FaZe,22,1.12,1.05,17,521,1.2,54,275,1.03,-37,246,,,,,,,,,false
910,Mongolia,The MongolZ,30,1.12,1.17,72,661,1.13,75,317,1.11,-3,344,,,,,,,,,false
torzsi,Hungary,MOUZ,39,1.12,1.3,140,822,1.18,150,422,1.05,-10,400,,,,,,,,,false
flameZ,Israel,Vitality,19,1.11,1.06,16,407,1.06,28,195,1.15,-12,212,,,,,,,,,false
luchov,Argentina,9z,40,1.11,1.03,17,903,1.13,61,434,1.08,-44,469,,,,,,,,,false
npl,Ukraine,B8,27,1.1,1.02,10,619,1.15,52,318,1.05,-42,301,,,,,,,,,false
HUASOPEEK,Chile,9z,40,1.09,1.0,0,903,1.13,71,434,1.06,-71,469,,,,,,,,,false
AZUWU,United Kingdom,Monte,18,1.09,0.99,-3,405,1.05,12,200,1.13,-15,205,,,,,,,,,false
Spinx,Israel,MOUZ,39,1.08,1.09,45,822,1.08,55,422,1.09,-10,400,,,,,,,,,false
Maka,France,3DMAX,16,1.08,1.04,10,373,1.04,27,198,1.13,-17,175,,,,,,,,,false
jcobbb,Poland,FaZe,22,1.08,1.0,-1,521,1.04,27,275,1.13,-28,246,,,,,,,,,false
Rainwaker,Bulgaria,Monte,18,1.07,1.08,20,405,1.1,41,200,1.04,-21,205,,,,,,,,,false
cobrazera,Mongolia,The MongolZ,21,1.07,1.01,3,471,1.16,41,228,0.98,-38,243,,,,,,,,,false
dumau,Brazil,Legacy,25,1.06,1.01,2,561,1.07,34,287,1.05,-32,274,,,,,,,,,false
iM,Romania,Natus Vincere,17,1.06,1.06,16,375,1.0,18,206,1.14,-2,169,,,,,,,,,false
ropz,Estonia,Vitality,19,1.06,1.15,38,407,1.09,35,195,1.03,3,212,,,,,,,,,false
dem0n,Ukraine,FUT,26,1.05,1.02,6,556,1.03,27,289,1.07,-21,267,,,,,,,,,false
PR,Czech Republic,MOUZGamerLegion,22,1.05,1.02,5,480,1.03,19,243,1.06,-14,237,,,,,,,,,false
w0nderful,Ukraine,Natus Vincere,17,1.04,1.21,47,375,0.96,33,206,1.14,14,169,,,,,,,,,false
xelex,Hungary,MOUZ,39,1.04,1.08,43,822,1.05,66,422,1.03,-23,400,,,,,,,,,false
TeSeS,Denmark,Falcons,33,1.04,1.02,9,765,1.08,51,391,1.0,-42,374,,,,,,,,,false
afro,France,Monte,18,1.04,1.14,34,405,1.08,42,200,1.0,-8,205,,,,,,,,,false
JBOEN,Denmark,FaZe,16,1.03,1.19,41,366,1.06,44,195,1.0,-3,171,,,,,,,,,false
huNter-,Bosnia and Herzegovina,G2,27,1.03,1.03,11,624,1.12,52,292,0.95,-41,332,,,,,,,,,false
makazze,Kosovo,Natus Vincere,17,1.03,0.97,-8,375,1.03,16,206,1.03,-24,169,,,,,,,,,false
FL4MUS,Russia,BetBoom,20,1.02,0.97,-8,414,1.12,34,202,0.93,-42,212,,,,,,,,,false
dgt,Uruguay,9z,40,1.01,1.0,0,903,1.02,49,434,1.0,-49,469,,,,,,,,,false
Gizmy,United Kingdom,Monte,18,1.01,0.9,-27,405,0.91,-12,200,1.1,-15,205,,,,,,,,,false
bLitz,Mongolia,The MongolZ,30,1.0,0.9,-45,661,1.01,9,317,1.0,-54,344,,,,,,,,,false
