name,country,maps_played,kd_diff,kd_ratio,rating_overall,wins,draws,losses,total_kills,total_deaths,rounds_played,roster
Spirit,Russia,30,194,1.09,1.1,20,0,10,2318,2124,670,"sh1ro,magixx,tN1R,zont1x,donk"
FURIA,Brazil,18,166,1.15,1.1,12,0,6,1258,1092,365,"FalleN,yuurih,YEKINDAR,KSCERATO,molodoy"
MOUZ,Europe,39,285,1.11,1.08,24,0,15,2842,2557,822,"torzsi,Spinx,xertioN,PR,xelex"
Falcons,Europe,33,89,1.04,1.07,22,0,11,2560,2471,765,"karrigan,NiKo,TeSeS,m0NESY,kyousuke"
FaZe,Europe,22,91,1.06,1.07,12,0,10,1734,1643,521,"frozen,Twistzz,Neityu,jcobbb,JBOEN"
Aurora,Türkiye,14,100,1.12,1.07,9,0,5,944,844,275,"XANTARES,woxic,Jimpphat,kyxsan,Wicadia"
magic,Europe,16,39,1.03,1.05,10,0,6,1250,1211,372,"MaSvAl,sFade8,AW,mo0N,tenzy"
Vitality,Europe,19,72,1.06,1.05,9,0,10,1361,1289,407,"apEX,ropz,ZywOo,flameZ,mezii"
Natus Vincere,Europe,17,65,1.05,1.04,9,0,8,1254,1189,375,"Aleksib,iM,b1t,w0nderful,makazze"
FUT,Europe,26,-52,0.97,1.03,13,0,13,1834,1886,556,"xfl0ud,dem0n,Krabeni,cmtry,dziugss"
G2,Europe,27,0,1.0,1.03,13,0,14,2031,2031,624,"huNter-,NertZ,r1nkle,HeavyGod,MATYS"
MIBR,Brazil,22,-77,0.95,1.02,9,0,13,1480,1557,449,"LNZ,nqz,brnz4n,insani,venomzera"
9z,South America,40,-90,0.97,1.01,22,0,18,2907,2997,903,"max,dgt,meyern,luchov,HUASOPEEK"
Monte,Europe,18,-30,0.98,1.01,8,0,10,1292,1322,405,
BetBoom,Russia,23,-80,0.95,1.01,11,0,12,1526,1606,472,"Boombl4,zorte,S1ren,d1Ledez,Magnojez"
3DMAX,France,16,-59,0.95,1.0,7,0,9,1209,1268,373,"Maka,Lucky,misutaaa,Kursy,Graviti"
The MongolZ,Mongolia,30,-105,0.95,1.0,15,0,15,2119,2224,661,"bLitz,Techno,910,tikuak,DarkMeister"
B8,Ukraine,27,-108,0.95,1.0,12,0,15,2036,2144,619,"alex666,npl,kensizor,esenthial,s1zzi"
Astralis,Denmark,14,-87,0.92,0.98,5,0,9,979,1066,310,"HooXi,phzy,jabbi,Staehr,ryu"
Legacy,Brazil,25,-62,0.97,0.98,11,0,14,1785,1847,561,"arT,dumau,latto,n1ssim,try"
paiN,Brazil,18,-136,0.9,0.94,5,0,13,1196,1332,384,"vsm,biguzera,piriajr,saffee,snow"
PARIVISION,Russia,25,-233,0.88,0.92,6,0,19,1657,1890,553,"FL1T,Jame,xiELO,zweih,slaxejezzz"
